"player_name","Pos","Tm","Age","G","GS","MP","FG","FGA","FGp","x3P","x3PA","x3Pp","x2P","x2PA","x2Pp","eFGp","FT","FTA","FTp","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GSp","AST_to_TOV_ratio","FG_miss","FT_miss","EFF","MP_per_game","ORB_per_game","DRB_per_game","TRB_per_game","AST_per_game","STL_per_game","BLK_per_game","TOV_per_game","PTS_per_game","salary","dollars_per_EFF","dollars_per_PTS_per_game","Starter"
"123","Steven Adams","C","OKC",25,80,80,2669,481,809,0.595,0,2,0,481,807,0.596,0.595,146,292,0.5,391,369,760,124,117,76,135,204,1108,1,0.919,328,146,19.7,33.362,4.888,4.612,9.5,1.55,1.462,0.95,1.688,13.85,24157304,1226259.086,1744209.675,"Starter"
"124","Taj Gibson","PF","MIN",33,70,57,1686,304,537,0.566,11,34,0.324,293,503,0.583,0.576,134,177,0.757,172,286,458,84,53,39,73,186,753,0.814,1.151,233,43,14.829,24.086,2.457,4.086,6.543,1.2,0.757,0.557,1.043,10.757,1.4e+07,944123.314,1301460.823,"Starter"
"125","Terrance Ferguson","SG","OKC",20,74,74,1931,185,431,0.429,106,290,0.366,79,141,0.56,0.552,37,51,0.725,33,108,141,72,40,16,47,231,513,1,1.532,246,14,6.419,26.095,0.446,1.459,1.905,0.973,0.541,0.216,0.635,6.932,2118840,330092.968,305641.637,"Starter"
"126","Thaddeus Young","PF","IND",30,81,81,2489,443,841,0.527,51,146,0.349,392,695,0.564,0.557,87,135,0.644,192,331,523,204,123,36,123,194,1024,1,1.659,398,48,16.556,30.728,2.37,4.086,6.457,2.519,1.519,0.444,1.519,12.642,13764045,831385.268,1088757.466,"Starter"
"127","Thomas Bryant","C","WAS",21,72,53,1496,309,502,0.616,33,99,0.333,276,403,0.685,0.648,107,137,0.781,113,341,454,92,25,67,60,126,758,0.736,1.533,193,30,15.458,20.778,1.569,4.736,6.306,1.278,0.347,0.931,0.833,10.528,1378242,89158.512,130914.807,"Starter"
"128","Tim Hardaway","SG_SG","DAL_NYK",26,65,63,2057,390,993,0.792,162,477,0.668,228,516,0.92,0.958,232,276,1.621,33,189,222,159,54,8,105,141,1174,0.969,1.514,603,44,13.308,31.646,0.508,2.908,3.415,2.446,0.831,0.123,1.615,18.062,17325000,1301878.613,959220.613,"Starter"
"129","TJ Warren","SF","PHO",25,43,36,1360,297,611,0.486,77,180,0.428,220,431,0.51,0.549,101,124,0.815,31,143,174,64,51,29,52,119,772,0.837,1.231,314,23,16.302,31.628,0.721,3.326,4.047,1.488,1.186,0.674,1.209,17.953,11750000,720756.063,654468.912,"Starter"
"130","Tobias Harris","PF_PF","PHI_LAC",26,82,82,2847,611,1254,0.965,156,393,0.76,455,861,1.065,1.085,266,307,1.718,69,576,645,229,51,37,151,184,1644,1,1.517,643,41,21.598,34.72,0.841,7.024,7.866,2.793,0.622,0.451,1.841,20.049,14800000,685262.564,738199.513,"Starter"
"131","Trae Young","PG","ATL",20,81,81,2503,525,1256,0.418,156,482,0.324,369,774,0.477,0.48,343,414,0.829,64,237,301,653,72,15,308,140,1549,1,2.12,731,71,18.272,30.901,0.79,2.926,3.716,8.062,0.889,0.185,3.802,19.123,5363280,293530.865,280455.571,"Starter"
"132","Trevor Ariza","SF_SF","PHO_WAS",33,69,69,2349,294,736,0.788,145,434,0.682,149,302,0.937,0.991,130,164,1.614,50,321,371,252,91,21,106,130,863,1,2.377,442,34,14.725,34.043,0.725,4.652,5.377,3.652,1.319,0.304,1.536,12.507,1.5e+07,1018700.787,1199304.751,"Starter"
"133","Tristan Thompson","C","CLE",27,43,40,1198,201,380,0.529,0,0,NA,201,380,0.529,0.529,68,106,0.642,173,265,438,86,28,16,59,89,470,0.93,1.458,179,38,17.721,27.86,4.023,6.163,10.186,2,0.651,0.372,1.372,10.93,17469565,985815.348,1598279.351,"Starter"
"134","Victor Oladipo","SG","IND",26,36,36,1147,249,588,0.423,74,216,0.343,175,372,0.47,0.486,103,141,0.73,21,181,202,186,60,11,82,72,675,1,2.268,339,38,18.75,31.861,0.583,5.028,5.611,5.167,1.667,0.306,2.278,18.75,2.1e+07,1120000,1120000,"Starter"
"135","Wayne Ellington","SG_SG","MIA_DET",31,53,38,1297,184,457,0.796,138,372,0.741,46,85,1.021,1.1,39,49,1.633,14,93,107,72,54,6,40,92,545,0.717,1.8,273,10,8.698,24.472,0.264,1.755,2.019,1.358,1.019,0.113,0.755,10.283,8653076,994822.187,841491.794,"Starter"
"136","Wendell Carter","C","CHI",19,44,44,1110,180,371,0.485,6,32,0.188,174,339,0.513,0.493,89,112,0.795,87,220,307,78,26,58,65,152,455,1,1.2,191,23,14.659,25.227,1.977,5,6.977,1.773,0.591,1.318,1.477,10.341,4446840,303350.326,430024.088,"Starter"
"137","Wesley Matthews","SG_SG_SF","NYK_IND_DAL",32,69,68,2091,279,698,1.011,150,403,0.949,129,295,1.091,1.283,132,163,2.445,32,138,170,160,54,17,91,160,840,0.986,1.758,419,31,10.145,30.304,0.464,2,2.464,2.319,0.783,0.246,1.319,12.174,19360228,1908365.331,1590304.443,"Starter"
"138","Will Barton","SG","DEN",28,43,38,1189,185,460,0.402,67,196,0.342,118,264,0.447,0.475,57,74,0.77,32,167,199,124,18,22,65,82,494,0.884,1.908,275,17,11.628,27.651,0.744,3.884,4.628,2.884,0.419,0.512,1.512,11.488,11830358,1017410.788,1029768.004,"Starter"
"139","Willie Cauley-Stein","C","SAC",25,81,81,2213,412,741,0.556,1,2,0.5,411,739,0.556,0.557,140,254,0.551,181,497,678,194,96,51,84,227,965,1,2.31,329,114,17.988,27.321,2.235,6.136,8.37,2.395,1.185,0.63,1.037,11.914,4696874,261116.537,394245.382,"Starter"
"140","Zach LaVine","SG","CHI",23,63,62,2171,530,1135,0.467,120,321,0.374,410,814,0.504,0.52,312,375,0.832,40,254,294,283,60,26,215,140,1492,0.984,1.316,605,63,20.19,34.46,0.635,4.032,4.667,4.492,0.952,0.413,3.413,23.683,19500000,965801.887,823391.421,"Starter"
